FolioPage,Sequence,Label
urn:cite:hcmid:cb48.29r,57,"Codex Bodmer 48, folio 29, recto"
urn:cite:hcmid:cb48.29r,58,"Codex Bodmer 48, folio 29, verso"
urn:cite:hcmid:cb48.30r,59,"Codex Bodmer 48, folio 30, recto"
urn:cite:hcmid:cb48.30r,60,"Codex Bodmer 48, folio 30, verso"
urn:cite:hcmid:cb48.31r,61,"Codex Bodmer 48, folio 31, recto"
urn:cite:hcmid:cb48.31r,62,"Codex Bodmer 48, folio 31, verso"
urn:cite:hcmid:cb48.32r,63,"Codex Bodmer 48, folio 32, recto"
urn:cite:hcmid:cb48.32r,64,"Codex Bodmer 48, folio 32, verso"
urn:cite:hcmid:cb48.33r,65,"Codex Bodmer 48, folio 33, recto"
urn:cite:hcmid:cb48.33r,66,"Codex Bodmer 48, folio 33, verso"
urn:cite:hcmid:cb48.34r,67,"Codex Bodmer 48, folio 34, recto"
urn:cite:hcmid:cb48.34r,68,"Codex Bodmer 48, folio 34, verso"
urn:cite:hcmid:cb48.35r,69,"Codex Bodmer 48, folio 35, recto"
urn:cite:hcmid:cb48.35r,70,"Codex Bodmer 48, folio 35, verso"
urn:cite:hcmid:cb48.36r,71,"Codex Bodmer 48, folio 36, recto"
urn:cite:hcmid:cb48.36r,72,"Codex Bodmer 48, folio 36, verso"
urn:cite:hcmid:cb48.37r,73,"Codex Bodmer 48, folio 37, recto"
urn:cite:hcmid:cb48.37r,74,"Codex Bodmer 48, folio 37, verso"
urn:cite:hcmid:cb48.38r,75,"Codex Bodmer 48, folio 38, recto"
urn:cite:hcmid:cb48.38r,76,"Codex Bodmer 48, folio 38, verso"
urn:cite:hcmid:cb48.39r,77,"Codex Bodmer 48, folio 39, recto"
urn:cite:hcmid:cb48.39r,78,"Codex Bodmer 48, folio 39, verso"
urn:cite:hcmid:cb48.40r,79,"Codex Bodmer 48, folio 40, recto"
urn:cite:hcmid:cb48.40r,80,"Codex Bodmer 48, folio 40, verso"
urn:cite:hcmid:cb48.41r,81,"Codex Bodmer 48, folio 41, recto"
urn:cite:hcmid:cb48.41r,82,"Codex Bodmer 48, folio 41, verso"
urn:cite:hcmid:cb48.42r,83,"Codex Bodmer 48, folio 42, recto"
urn:cite:hcmid:cb48.42r,84,"Codex Bodmer 48, folio 42, verso"
urn:cite:hcmid:cb48.43r,85,"Codex Bodmer 48, folio 43, recto"
urn:cite:hcmid:cb48.43r,86,"Codex Bodmer 48, folio 43, verso"
urn:cite:hcmid:cb48.44r,87,"Codex Bodmer 48, folio 44, recto"
urn:cite:hcmid:cb48.44r,88,"Codex Bodmer 48, folio 44, verso"
urn:cite:hcmid:cb48.45r,89,"Codex Bodmer 48, folio 45, recto"
urn:cite:hcmid:cb48.45r,90,"Codex Bodmer 48, folio 45, verso"
urn:cite:hcmid:cb48.46r,91,"Codex Bodmer 48, folio 46, recto"
urn:cite:hcmid:cb48.46r,92,"Codex Bodmer 48, folio 46, verso"
urn:cite:hcmid:cb48.47r,93,"Codex Bodmer 48, folio 47, recto"
urn:cite:hcmid:cb48.47r,94,"Codex Bodmer 48, folio 47, verso"
urn:cite:hcmid:cb48.48r,95,"Codex Bodmer 48, folio 48, recto"
urn:cite:hcmid:cb48.48r,96,"Codex Bodmer 48, folio 48, verso"
urn:cite:hcmid:cb48.49r,97,"Codex Bodmer 48, folio 49, recto"
urn:cite:hcmid:cb48.49r,98,"Codex Bodmer 48, folio 49, verso"
urn:cite:hcmid:cb48.50r,99,"Codex Bodmer 48, folio 50, recto"
urn:cite:hcmid:cb48.50r,100,"Codex Bodmer 48, folio 50, verso"
urn:cite:hcmid:cb48.51r,101,"Codex Bodmer 48, folio 51, recto"
urn:cite:hcmid:cb48.51r,102,"Codex Bodmer 48, folio 51, verso"
urn:cite:hcmid:cb48.52r,103,"Codex Bodmer 48, folio 52, recto"
urn:cite:hcmid:cb48.52r,104,"Codex Bodmer 48, folio 52, verso"
urn:cite:hcmid:cb48.53r,105,"Codex Bodmer 48, folio 53, recto"
urn:cite:hcmid:cb48.53r,106,"Codex Bodmer 48, folio 53, verso"
urn:cite:hcmid:cb48.54r,107,"Codex Bodmer 48, folio 54, recto"
urn:cite:hcmid:cb48.54r,108,"Codex Bodmer 48, folio 54, verso"
urn:cite:hcmid:cb48.55r,109,"Codex Bodmer 48, folio 55, recto"
urn:cite:hcmid:cb48.55r,110,"Codex Bodmer 48, folio 55, verso"
urn:cite:hcmid:cb48.56r,111,"Codex Bodmer 48, folio 56, recto"
urn:cite:hcmid:cb48.56r,112,"Codex Bodmer 48, folio 56, verso"
urn:cite:hcmid:cb48.57r,113,"Codex Bodmer 48, folio 57, recto"
urn:cite:hcmid:cb48.57r,114,"Codex Bodmer 48, folio 57, verso"
urn:cite:hcmid:cb48.58r,115,"Codex Bodmer 48, folio 58, recto"
urn:cite:hcmid:cb48.58r,116,"Codex Bodmer 48, folio 58, verso"
urn:cite:hcmid:cb48.59r,117,"Codex Bodmer 48, folio 59, recto"
urn:cite:hcmid:cb48.59r,118,"Codex Bodmer 48, folio 59, verso"
urn:cite:hcmid:cb48.60r,119,"Codex Bodmer 48, folio 60, recto"
urn:cite:hcmid:cb48.60r,120,"Codex Bodmer 48, folio 60, verso"
urn:cite:hcmid:cb48.61r,121,"Codex Bodmer 48, folio 61, recto"
urn:cite:hcmid:cb48.61r,122,"Codex Bodmer 48, folio 61, verso"
urn:cite:hcmid:cb48.62r,123,"Codex Bodmer 48, folio 62, recto"
urn:cite:hcmid:cb48.62r,124,"Codex Bodmer 48, folio 62, verso"
urn:cite:hcmid:cb48.63r,125,"Codex Bodmer 48, folio 63, recto"
urn:cite:hcmid:cb48.63r,126,"Codex Bodmer 48, folio 63, verso"
urn:cite:hcmid:cb48.64r,127,"Codex Bodmer 48, folio 64, recto"
urn:cite:hcmid:cb48.64r,128,"Codex Bodmer 48, folio 64, verso"
urn:cite:hcmid:cb48.65r,129,"Codex Bodmer 48, folio 65, recto"
urn:cite:hcmid:cb48.65r,130,"Codex Bodmer 48, folio 65, verso"
urn:cite:hcmid:cb48.66r,131,"Codex Bodmer 48, folio 66, recto"
urn:cite:hcmid:cb48.66r,132,"Codex Bodmer 48, folio 66, verso"
urn:cite:hcmid:cb48.67r,133,"Codex Bodmer 48, folio 67, recto"
urn:cite:hcmid:cb48.67r,134,"Codex Bodmer 48, folio 67, verso"
urn:cite:hcmid:cb48.68r,135,"Codex Bodmer 48, folio 68, recto"
urn:cite:hcmid:cb48.68r,136,"Codex Bodmer 48, folio 68, verso"
urn:cite:hcmid:cb48.69r,137,"Codex Bodmer 48, folio 69, recto"
urn:cite:hcmid:cb48.69r,138,"Codex Bodmer 48, folio 69, verso"
urn:cite:hcmid:cb48.70r,139,"Codex Bodmer 48, folio 70, recto"
urn:cite:hcmid:cb48.70r,140,"Codex Bodmer 48, folio 70, verso"
urn:cite:hcmid:cb48.71r,141,"Codex Bodmer 48, folio 71, recto"
urn:cite:hcmid:cb48.71r,142,"Codex Bodmer 48, folio 71, verso"
urn:cite:hcmid:cb48.72r,143,"Codex Bodmer 48, folio 72, recto"
urn:cite:hcmid:cb48.72r,144,"Codex Bodmer 48, folio 72, verso"
urn:cite:hcmid:cb48.73r,145,"Codex Bodmer 48, folio 73, recto"
urn:cite:hcmid:cb48.73r,146,"Codex Bodmer 48, folio 73, verso"
urn:cite:hcmid:cb48.74r,147,"Codex Bodmer 48, folio 74, recto"
urn:cite:hcmid:cb48.74r,148,"Codex Bodmer 48, folio 74, verso"
urn:cite:hcmid:cb48.75r,149,"Codex Bodmer 48, folio 75, recto"
urn:cite:hcmid:cb48.75r,150,"Codex Bodmer 48, folio 75, verso"
urn:cite:hcmid:cb48.76r,151,"Codex Bodmer 48, folio 76, recto"
urn:cite:hcmid:cb48.76r,152,"Codex Bodmer 48, folio 76, verso"
urn:cite:hcmid:cb48.77r,153,"Codex Bodmer 48, folio 77, recto"
urn:cite:hcmid:cb48.77r,154,"Codex Bodmer 48, folio 77, verso"
urn:cite:hcmid:cb48.78r,155,"Codex Bodmer 48, folio 78, recto"
urn:cite:hcmid:cb48.78r,156,"Codex Bodmer 48, folio 78, verso"
urn:cite:hcmid:cb48.79r,157,"Codex Bodmer 48, folio 79, recto"
urn:cite:hcmid:cb48.79r,158,"Codex Bodmer 48, folio 79, verso"
urn:cite:hcmid:cb48.80r,159,"Codex Bodmer 48, folio 80, recto"
urn:cite:hcmid:cb48.80r,160,"Codex Bodmer 48, folio 80, verso"
urn:cite:hcmid:cb48.81r,161,"Codex Bodmer 48, folio 81, recto"
urn:cite:hcmid:cb48.81r,162,"Codex Bodmer 48, folio 81, verso"
urn:cite:hcmid:cb48.82r,163,"Codex Bodmer 48, folio 82, recto"
urn:cite:hcmid:cb48.82r,164,"Codex Bodmer 48, folio 82, verso"
urn:cite:hcmid:cb48.83r,165,"Codex Bodmer 48, folio 83, recto"
urn:cite:hcmid:cb48.83r,166,"Codex Bodmer 48, folio 83, verso"
urn:cite:hcmid:cb48.84r,167,"Codex Bodmer 48, folio 84, recto"
urn:cite:hcmid:cb48.84r,168,"Codex Bodmer 48, folio 84, verso"
urn:cite:hcmid:cb48.85r,169,"Codex Bodmer 48, folio 85, recto"
urn:cite:hcmid:cb48.85r,170,"Codex Bodmer 48, folio 85, verso"
urn:cite:hcmid:cb48.86r,171,"Codex Bodmer 48, folio 86, recto"
urn:cite:hcmid:cb48.86r,172,"Codex Bodmer 48, folio 86, verso"
urn:cite:hcmid:cb48.87r,173,"Codex Bodmer 48, folio 87, recto"
urn:cite:hcmid:cb48.87r,174,"Codex Bodmer 48, folio 87, verso"
urn:cite:hcmid:cb48.88r,175,"Codex Bodmer 48, folio 88, recto"
urn:cite:hcmid:cb48.88r,176,"Codex Bodmer 48, folio 88, verso"
urn:cite:hcmid:cb48.89r,177,"Codex Bodmer 48, folio 89, recto"
urn:cite:hcmid:cb48.89r,178,"Codex Bodmer 48, folio 89, verso"
urn:cite:hcmid:cb48.90r,179,"Codex Bodmer 48, folio 90, recto"
urn:cite:hcmid:cb48.90r,180,"Codex Bodmer 48, folio 90, verso"
